timestamp,source_ip,destination_ip,user,host,protocol,action,severity,log_source,event_type,destination_port,bytes_transferred,failed_attempts,label
2026-01-01T00:00:00Z,192.0.2.1,198.51.100.1,demo-user-01,demo-host-01,tcp,denied,high,synthetic,authentication_failure,22,1767,6,attack
2026-01-01T00:01:00Z,192.0.2.2,198.51.100.8,demo-user-02,demo-host-02,tcp,allowed,informational,synthetic,authentication_success,80,9272,0,benign
2026-01-01T00:02:00Z,192.0.2.3,198.51.100.15,demo-user-03,demo-host-03,tcp,allowed,informational,synthetic,network_connection,443,2210,0,benign
2026-01-01T00:03:00Z,192.0.2.4,198.51.100.22,demo-user-04,demo-host-04,tcp,allowed,informational,synthetic,network_connection,80,15375,0,benign
2026-01-01T00:04:00Z,192.0.2.5,198.51.100.29,demo-user-05,demo-host-05,tcp,allowed,informational,synthetic,network_connection,443,14574,0,benign
2026-01-01T00:05:00Z,192.0.2.6,198.51.100.36,demo-user-06,demo-host-06,udp,allowed,low,synthetic,authentication_success,53,49857,0,benign
2026-01-01T00:06:00Z,192.0.2.7,198.51.100.3,demo-user-07,demo-host-07,tcp,allowed,low,synthetic,network_connection,123,18338,0,benign
2026-01-01T00:07:00Z,192.0.2.8,198.51.100.10,demo-user-08,demo-host-08,tcp,blocked,critical,synthetic,port_scan,80,14238,0,attack
2026-01-01T00:08:00Z,192.0.2.9,198.51.100.17,demo-user-09,demo-host-09,udp,allowed,informational,synthetic,authentication_success,53,25026,0,benign
2026-01-01T00:09:00Z,192.0.2.10,198.51.100.24,demo-user-10,demo-host-10,tcp,allowed,low,synthetic,network_connection,123,39693,0,benign
2026-01-01T00:10:00Z,192.0.2.11,198.51.100.31,demo-user-11,demo-host-11,tcp,denied,high,synthetic,authentication_failure,22,2975,9,attack
2026-01-01T00:11:00Z,192.0.2.12,198.51.100.38,demo-user-12,demo-host-12,tcp,allowed,informational,synthetic,authentication_success,443,5292,0,benign
2026-01-01T00:12:00Z,192.0.2.13,198.51.100.5,demo-user-01,demo-host-13,tcp,allowed,low,synthetic,authentication_success,80,46302,0,benign
2026-01-01T00:13:00Z,192.0.2.14,198.51.100.12,demo-user-02,demo-host-14,tcp,allowed,informational,synthetic,network_connection,80,19093,0,benign
2026-01-01T00:14:00Z,192.0.2.15,198.51.100.19,demo-user-03,demo-host-15,udp,allowed,informational,synthetic,network_connection,53,25039,0,benign
2026-01-01T00:15:00Z,192.0.2.16,198.51.100.26,demo-user-04,demo-host-16,tcp,allowed,low,synthetic,authentication_success,123,10787,0,benign
2026-01-01T00:16:00Z,192.0.2.17,198.51.100.33,demo-user-05,demo-host-17,tcp,allowed,low,synthetic,authentication_success,80,44048,0,benign
2026-01-01T00:17:00Z,192.0.2.18,198.51.100.40,demo-user-06,demo-host-18,tcp,blocked,critical,synthetic,port_scan,443,46122,0,attack
2026-01-01T00:18:00Z,192.0.2.19,198.51.100.7,demo-user-07,demo-host-19,tcp,allowed,informational,synthetic,network_connection,80,10836,0,benign
2026-01-01T00:19:00Z,192.0.2.20,198.51.100.14,demo-user-08,demo-host-20,tcp,allowed,low,synthetic,authentication_success,123,42071,0,benign
2026-01-01T00:20:00Z,192.0.2.21,198.51.100.21,demo-user-09,demo-host-21,tcp,denied,high,synthetic,authentication_failure,22,44994,8,attack
